,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
0,4203488233,systasystasis,en,Wed Nov 11 17:09:21 +0000 2015,,28,208,7
1,2735264293,zosiatreb,en,Fri Aug 15 18:55:49 +0000 2014,,4,80,8
3,94839645,DrewWalker38,en,Sat Dec 05 18:13:32 +0000 2009,Central Time (US & Canada),15,110,66
4,4167429915,DGodreche,en,Thu Nov 12 00:20:13 +0000 2015,,0,6,8
5,4189224207,bangyourmother,en,Sat Nov 14 21:42:07 +0000 2015,,69,587,8
10,479083985,SarahAudet,en,Tue Jan 31 00:28:47 +0000 2012,Hawaii,2,194,6
11,373721476,gowotweets,en,Thu Sep 15 02:54:27 +0000 2011,Eastern Time (US & Canada),409,577,4188
12,355703826,medoucea,en,Mon Aug 15 19:22:31 +0000 2011,Buenos Aires,11,144,5
13,4189200519,Rapanui234,en,Sat Nov 14 21:37:46 +0000 2015,,5,57,4
16,721825892,thestreetsRmine,en,Sat Jul 28 09:03:09 +0000 2012,Amsterdam,768,721,10836
23,17703262,capetown6,en,Fri Nov 28 08:27:03 +0000 2008,Paris,29,123,51
27,3303867491,YaleForBernie,en,Sat May 30 17:08:45 +0000 2015,,1065,106,20
28,18759365,louisesimonsen,en,Thu Jan 08 09:47:24 +0000 2009,,22,79,55
33,4189210431,anabojic2004,en,Sat Nov 14 21:39:33 +0000 2015,,8,50,1
37,3397343885,l_derienzo,en,Fri Jul 31 16:30:43 +0000 2015,Central Time (US & Canada),108,448,31
38,73585333,mkspillay,en,Sat Sep 12 06:15:47 +0000 2009,,2,21,1
41,4189301356,AButt796,en,Sat Nov 14 21:35:17 +0000 2015,,45,154,2
42,2384003422,Jared_S7,en,Wed Mar 05 01:51:54 +0000 2014,Eastern Time (US & Canada),11,281,521
44,312703951,MallardFilms,en,Tue Jun 07 14:54:16 +0000 2011,London,102,211,68
51,4189206629,PhilipDowdall,en,Sat Nov 14 21:29:20 +0000 2015,,12,96,2
55,4189145187,thoughts2_day,en,Sat Nov 14 21:27:29 +0000 2015,,10,217,1
57,3097656455,Chase9279,en,Thu Mar 19 20:51:19 +0000 2015,,108,762,198
58,3399507193,BroughJohnson,en,Mon Aug 31 03:25:42 +0000 2015,,43,271,42
61,242749716,ravinaths,en,Tue Jan 25 14:20:04 +0000 2011,Stockholm,109,301,106
62,983393984,CareManagement_,en,Sat Dec 01 21:47:39 +0000 2012,Eastern Time (US & Canada),201,1010,547
64,36751799,zogtee,en,Thu Apr 30 19:43:56 +0000 2009,Copenhagen,16,155,50
66,878580528,cmf22032012,en,Sat Oct 13 20:05:30 +0000 2012,,10,57,44
67,4238477840,sumitar81966478,en,Sat Nov 14 21:12:35 +0000 2015,,10,170,15
69,4034591747,moerock_,en,Sat Oct 24 22:20:53 +0000 2015,,60,253,1
74,3838839133,jonatha74125515,en,Fri Oct 09 17:51:41 +0000 2015,,508,4999,140
80,19233257,Elspethmusic,en,Tue Jan 20 12:15:18 +0000 2009,Casablanca,390,460,1045
81,46392359,Swyfty,en,Thu Jun 11 14:03:03 +0000 2009,Central Time (US & Canada),26,124,11
83,4026447734,sdmakerpanuers,en,Mon Oct 26 17:05:17 +0000 2015,,75,270,35
84,4235322014,Samanth84962421,en,Sat Nov 14 14:21:41 +0000 2015,,0,16,11
85,144232296,Laplace3000,en,Sat May 15 17:42:32 +0000 2010,Pacific Time (US & Canada),306,2007,941
91,556205407,cheebsmc,en,Tue Apr 17 19:05:07 +0000 2012,Casablanca,76,298,90
96,4175953965,tom_nkuna,en,Fri Nov 13 03:27:42 +0000 2015,,4,87,1
97,4229712800,yyao00,en,Sat Nov 14 02:11:14 +0000 2015,Pacific Time (US & Canada),6,30,2
98,2315474818,CarolinaMilburn,en,Fri Jan 31 06:18:22 +0000 2014,,25,85,27
99,145183299,gbrl_dns,en,Tue May 18 09:34:49 +0000 2010,Quito,392,912,16421
103,4189086267,azizulhaq2301,en,Sat Nov 14 21:16:36 +0000 2015,,16,128,2
106,267188323,cijfer,en,Wed Mar 16 13:42:26 +0000 2011,Hong Kong,11,55,73
108,266141958,LalAyrl,en,Mon Mar 14 18:51:43 +0000 2011,Greenland,195,178,6663
112,4189110147,kastelanka41,en,Sat Nov 14 21:20:59 +0000 2015,,12,59,1
113,90025621,Borisgs,en,Sat Nov 14 21:32:29 +0000 2009,Mountain Time (US & Canada),7,51,4
114,4238587213,Breeanaray29Ray,en,Sat Nov 14 21:19:29 +0000 2015,,75,313,8
118,4104932403,softpinktruthz,en,Tue Nov 03 14:04:22 +0000 2015,,6,33,1
120,3304149107,bea_rimland,en,Sat May 30 22:44:11 +0000 2015,,17,108,207
127,3938800876,Aliyi20,en,Mon Oct 12 16:47:54 +0000 2015,,8,413,1
130,4189181134,LilShawty9669,en,Sat Nov 14 21:13:15 +0000 2015,Eastern Time (US & Canada),39,472,8
132,343043956,Hallin21,en,Wed Jul 27 00:03:18 +0000 2011,,40,421,24
133,4189070849,rosyvnt,en,Sat Nov 14 21:04:59 +0000 2015,,13,204,1
135,395130564,GormanBruce,en,Fri Oct 21 05:34:16 +0000 2011,,1136,2878,727
139,24663557,socialmediagu,en,Mon Mar 16 07:34:54 +0000 2009,,551,1253,875
141,49157246,lorevamp,en,Sat Jun 20 23:27:05 +0000 2009,,11,47,11
142,280949292,Boma_official,en,Tue Apr 12 10:16:26 +0000 2011,,13,44,6
143,257329301,3girlsandalab,en,Fri Feb 25 05:29:32 +0000 2011,,112,412,386
146,991099909,EricFranks6,en,Wed Dec 05 14:44:15 +0000 2012,,82,86,63
147,3605038812,kartikexotic,en,Fri Sep 18 12:46:36 +0000 2015,,136,937,127
148,2580537298,ambiedawn30,en,Tue Jun 03 14:30:07 +0000 2014,,165,2019,61
150,4189171942,giobitadzeblog1,en,Sat Nov 14 21:11:31 +0000 2015,,5,41,1
152,3283682576,Nadayounis4,en,Sat Jul 18 20:44:16 +0000 2015,,11,65,1
154,4189161802,G36_gameplay,en,Sat Nov 14 21:09:42 +0000 2015,,8,69,3
155,343412018,SheepishNot,en,Wed Jul 27 14:53:26 +0000 2011,Central Time (US & Canada),26,79,472
158,4238453114,BGaysome,en,Sat Nov 14 21:09:15 +0000 2015,,10,106,1
161,4189040021,ZionHomeSoluti1,en,Sat Nov 14 20:59:04 +0000 2015,,5,48,1
163,1471048388,ChinWangESPN,en,Fri May 31 01:24:31 +0000 2013,Atlantic Time (Canada),435,163,112
164,2309156683,RobertsBarri,en,Sat Jan 25 00:14:39 +0000 2014,,17,111,7
165,172792784,EsshJee,en,Fri Jul 30 16:36:05 +0000 2010,Karachi,61,717,1004
167,4188537496,Lucknumber16,en,Sat Nov 14 19:16:18 +0000 2015,,28,201,19
168,4235707578,insuranceisok,en,Sat Nov 14 15:21:17 +0000 2015,,8,111,1
170,4189083214,saintdon01,en,Sat Nov 14 20:55:21 +0000 2015,,9,66,2
172,2553423043,alisonbasil1,en,Sat Jun 07 22:33:42 +0000 2014,,6,27,20
173,293711667,VincentPrieto,en,Thu May 05 20:52:46 +0000 2011,Atlantic Time (Canada),2857,434,311
175,337596364,SpatulasAtDawn,en,Mon Jul 18 08:32:25 +0000 2011,Casablanca,192,543,434
180,4013169035,tnttedtalker,en,Thu Oct 22 00:22:56 +0000 2015,Pacific Time (US & Canada),13,67,58
187,2781563796,GossettGina,en,Sun Aug 31 04:32:17 +0000 2014,,6,52,5
189,587415551,FredFrederick4,en,Tue May 22 13:16:21 +0000 2012,Pacific Time (US & Canada),64,260,177
190,3051391722,tonyabreu34,en,Sun Mar 01 00:05:29 +0000 2015,,1758,3860,258
191,4175833936,undwell,en,Fri Nov 13 02:40:01 +0000 2015,Pacific Time (US & Canada),5,22,25
193,4188980721,AssignmenthelpK,en,Sat Nov 14 20:57:20 +0000 2015,,30,208,4
