"","X","id","screen_name","lang","created_at","time_zone","followers_count","friends_count","statuses_count"
"1",0,1615354291,"FaithMonkey81","en-gb","Tue Jul 23 13:57:36 +0000 2013","Hawaii",38,98,155
"2",1,4174972570,"ZobairAzizi2","en","Thu Nov 12 23:53:13 +0000 2015","",54,389,4
"3",2,2777739520,"lynn55811006","en","Sat Sep 20 12:08:01 +0000 2014","",1,6,0
"4",3,240076676,"GinaFilice","en","Wed Jan 19 03:08:00 +0000 2011","Central Time (US & Canada)",38,40,1080
"5",4,4177093463,"muhybatr","en","Fri Nov 13 07:09:17 +0000 2015","",85,198,0
"6",5,4117717942,"Moshe1986","en","Thu Nov 05 07:04:16 +0000 2015","",0,55,0
"8",7,4172992828,"Za97990968Jahan","en-GB","Thu Nov 12 17:47:41 +0000 2015","",26,257,2
"9",8,1266838153,"priscillalau22","en","Thu Mar 14 11:23:02 +0000 2013","",1,23,0
"11",0,4133260699,"ruhul_ambia","en","Thu Nov 05 08:45:17 +0000 2015","",27,159,2
"12",1,4179270912,"lijianying12","en","Mon Nov 09 12:52:41 +0000 2015","",2,39,1
"13",2,4154094434,"MiranIooty","en","Sat Nov 07 06:05:13 +0000 2015","",9,114,1
"14",3,4118152827,"BOBBYPRINCE13","en","Thu Nov 05 08:54:49 +0000 2015","",5,40,0
"16",5,4114654171,"anura004571","en","Tue Nov 03 16:22:34 +0000 2015","",11,58,0
"17",6,4153427837,"kevinj0419","en","Tue Nov 10 02:33:20 +0000 2015","",4,59,0
"19",8,4119726502,"baxsara","en","Thu Nov 05 13:43:35 +0000 2015","Pacific Time (US & Canada)",6,59,0
"20",9,2876139804,"jkatzhic411","en","Sat Oct 25 04:12:06 +0000 2014","",1,26,3
"21",10,20848353,"MKeschl","en","Sat Feb 14 14:04:52 +0000 2009","",13,12,7
"22",11,4168793293,"Ahleiiya","en","Sun Nov 08 13:51:50 +0000 2015","",5,78,0
"23",12,4149282141,"TDotsCalling","en","Mon Nov 09 13:18:42 +0000 2015","",27,60,1
"24",13,4152268693,"kealohi324","en","Sat Nov 07 02:00:21 +0000 2015","",2,119,0
"25",14,4037649267,"faizalsb4u","en","Sun Oct 25 08:43:21 +0000 2015","",8,169,1
"26",15,4183971802,"Yexinman","en","Sat Nov 14 05:07:52 +0000 2015","",12,128,0
"27",16,4175100862,"Sharoncullen12","en-gb","Fri Nov 13 00:17:41 +0000 2015","",2,109,0
"28",17,4131529158,"batrisyia678","en","Thu Nov 05 05:16:37 +0000 2015","",12,125,0
"31",20,4161428832,"saanic21","en","Sat Nov 07 22:09:37 +0000 2015","",12,40,0
"32",21,4176552074,"LatikaTupur","en","Mon Nov 09 06:49:31 +0000 2015","",6,60,0
"33",22,3346554065,"BlanchardTricia","en","Fri Jun 26 14:10:21 +0000 2015","",26,99,17
"34",23,60630863,"Bonitasmokeshop","en","Mon Jul 27 15:50:06 +0000 2009","Eastern Time (US & Canada)",3076,2097,30664
"35",24,4175758203,"mofftrollm60","en","Fri Nov 13 02:48:40 +0000 2015","",46,202,9
"36",25,4157002460,"emma_beaman78","en","Sat Nov 07 12:23:59 +0000 2015","",3,64,2
"37",26,2406119043,"m10_mitra","en","Wed Mar 12 23:32:12 +0000 2014","",49,178,179
"38",27,4124484373,"tarshiacreative","en","Wed Nov 04 13:42:34 +0000 2015","",3,40,1
"39",28,3261269917,"sophiabennetts","en","Tue Jun 30 11:16:53 +0000 2015","",6,112,2
"40",29,4113437834,"Mrr_TiMo","en","Tue Nov 03 13:51:25 +0000 2015","",9,58,1
"41",30,860669316,"crjdc","en","Thu Oct 04 01:49:49 +0000 2012","Central Time (US & Canada)",448,329,3182
"42",31,1631976756,"MonsoonLa","en","Tue Jul 30 04:29:29 +0000 2013","",3,59,1
"43",32,89630127,"icy_pumphouse","en","Fri Nov 13 05:00:13 +0000 2009","",71,787,25
"44",33,22619795,"annawritesstuff","en","Tue Mar 03 12:59:29 +0000 2009","Central Time (US & Canada)",2895,510,1517
"45",34,4189134973,"jackelyntaguia1","en","Tue Nov 10 10:00:20 +0000 2015","",42,261,22
"46",35,4177090757,"khorshid964","en","Fri Nov 13 07:08:40 +0000 2015","",20,123,0
"47",36,4130121964,"ARBA_RO","en","Fri Nov 06 23:12:24 +0000 2015","",12,35,1
"48",37,4149375922,"lujokchade","en","Mon Nov 09 13:14:46 +0000 2015","",25,62,3
"50",39,4188464302,"NuriHabil","en","Sat Nov 14 19:03:00 +0000 2015","",26,135,2
"52",41,20186266,"valtermarques","en","Thu Feb 05 20:49:24 +0000 2009","Eastern Time (US & Canada)",28341,30095,56074
"53",42,4105836023,"OMODARAKAYODE6","en","Tue Nov 03 16:49:35 +0000 2015","",21,60,0
"54",43,2942853106,"thaboballentin1","en","Fri Dec 26 22:20:22 +0000 2014","",14,71,4
"55",44,4181083342,"newton75385247","en","Fri Nov 13 19:44:26 +0000 2015","",20,168,0
