,id,screen_name,name,lang,created_at,location,time_zone,description,followers_count,friends_count,statuses_count
0,1615354291,FaithMonkey81,Emma Boyle,en-gb,Tue Jul 23 13:57:36 +0000 2013,London,Hawaii,Book nerd. Atheist-turned-Christian. Knitter. Sandwich Eater. Wage Slave. And now Blogger.,38,98,155
1,4174972570,ZobairAzizi2,Zobair Azizi,en,Thu Nov 12 23:53:13 +0000 2015,Islamic Republic of Iran,,,54,389,4
2,2777739520,lynn55811006,LYNN SCHWARTZ,en,Sat Sep 20 12:08:01 +0000 2014,,,,1,6,0
3,240076676,GinaFilice,Gina Filice,en,Wed Jan 19 03:08:00 +0000 2011,"Toronto, Canada",Central Time (US & Canada),"33 yrs young. Health services management in LTC industry for over a decade. Passion for growing teams, the art of leadership and innovation. Working on MBA.",38,40,1080
4,4177093463,muhybatr,15555980608muhybart,en,Fri Nov 13 07:09:17 +0000 2015,,,,85,198,0
5,4117717942,Moshe1986,Moshe,en,Thu Nov 05 07:04:16 +0000 2015,,,,0,55,0
6,4102371673,Esmeral88442920,Esmeralda Lopez,es,Mon Nov 02 13:43:14 +0000 2015,,,,32,205,0
7,4172992828,Za97990968Jahan,Jahan Z.Dogar,en-GB,Thu Nov 12 17:47:41 +0000 2015,,,,26,257,2
8,1266838153,priscillalau22,Priscilla Lau,en,Thu Mar 14 11:23:02 +0000 2013,,,,1,23,0
9,3456667876,HayyRumi,Hayy Rumi,fi,Thu Aug 27 10:12:38 +0000 2015,,,Hayy-Rumi is a news service focused on producing and delivering quality commentaries to a global audience. We are dedicated to providing new insights and ideas.,38,202,22
0,4133260699,ruhul_ambia,Ruhul ambia,en,Thu Nov 05 08:45:17 +0000 2015,Bangladesh,,,27,159,2
