,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
0,4203488233,systasystasis,en,Wed Nov 11 17:09:21 +0000 2015,,28,208,7
1,2735264293,zosiatreb,en,Fri Aug 15 18:55:49 +0000 2014,,4,80,8
2,288425110,nilzyang,es,Tue Apr 26 20:45:45 +0000 2011,Mountain Time (US & Canada),494,326,30631
3,94839645,DrewWalker38,en,Sat Dec 05 18:13:32 +0000 2009,Central Time (US & Canada),15,110,66
4,4167429915,DGodreche,en,Thu Nov 12 00:20:13 +0000 2015,,0,6,8
5,4189224207,bangyourmother,en,Sat Nov 14 21:42:07 +0000 2015,,69,587,8
6,4189233447,AmranMangube,en,Sat Nov 14 21:43:46 +0000 2015,,13,106,0
7,4189289429,SandraSclucha,en,Sat Nov 14 21:44:50 +0000 2015,,6,48,0
8,4189200321,Momoheggo,en,Sat Nov 14 21:37:42 +0000 2015,,0,4,0
9,4036409294,lilianaoc26,es,Tue Oct 27 14:42:18 +0000 2015,,23,95,0
10,479083985,SarahAudet,en,Tue Jan 31 00:28:47 +0000 2012,Hawaii,2,194,6
11,373721476,gowotweets,en,Thu Sep 15 02:54:27 +0000 2011,Eastern Time (US & Canada),409,577,4188
12,355703826,medoucea,en,Mon Aug 15 19:22:31 +0000 2011,Buenos Aires,11,144,5
13,4189200519,Rapanui234,en,Sat Nov 14 21:37:46 +0000 2015,,5,57,4
14,4238664978,FunKing13524,en,Sat Nov 14 21:46:20 +0000 2015,,4,40,0
15,4189283183,ARSALAN19705565,en,Sat Nov 14 21:43:46 +0000 2015,Pacific Time (US & Canada),5,40,0
16,721825892,thestreetsRmine,en,Sat Jul 28 09:03:09 +0000 2012,Amsterdam,768,721,10836
17,4187484225,OgaraBlogs,en,Sat Nov 14 16:26:41 +0000 2015,,12,58,0
18,1159511226,RuneChristian,da,Fri Feb 08 08:11:45 +0000 2013,,2,17,0
19,510407591,giacomosilver,it,Thu Mar 01 15:32:05 +0000 2012,,17,26,1
20,4228165218,manoasse1995,ar,Fri Nov 13 22:59:10 +0000 2015,,12,59,7
21,20624255,ginghambakery,en,Wed Feb 11 20:29:35 +0000 2009,,9,41,0
22,2606188352,SoMirande,fr,Sat Jul 05 21:42:22 +0000 2014,Paris,62,561,61
23,17703262,capetown6,en,Fri Nov 28 08:27:03 +0000 2008,Paris,29,123,51
24,4189328668,emanuelberhe,en-gb,Sat Nov 14 21:40:27 +0000 2015,,6,59,0
25,488918459,domefabiano,it,Sat Feb 11 00:19:29 +0000 2012,Amsterdam,68,361,70
26,4189271242,AlisherTanah,en,Sat Nov 14 21:29:42 +0000 2015,,5,89,0
27,3303867491,YaleForBernie,en,Sat May 30 17:08:45 +0000 2015,,1065,106,20
28,18759365,louisesimonsen,en,Thu Jan 08 09:47:24 +0000 2009,,22,79,55
29,4189329562,QiyanCai,en,Sat Nov 14 21:40:35 +0000 2015,,2,45,0
30,4127254653,LauraMWatson3,en,Fri Nov 06 14:10:57 +0000 2015,,8,15,0
31,67796730,dianamarinm15,es,Sat Aug 22 02:57:54 +0000 2009,Central Time (US & Canada),290,383,5518
32,326967781,beagdc,en,Thu Jun 30 19:45:18 +0000 2011,,5,23,0
33,4189210431,anabojic2004,en,Sat Nov 14 21:39:33 +0000 2015,,8,50,1
34,830183785,benhfuchs,en,Tue Sep 18 01:55:13 +0000 2012,,3,30,0
35,4189243421,KhadimH93890755,en,Sat Nov 14 21:36:15 +0000 2015,,4,44,0
36,4189249391,michellecampara,en,Sat Nov 14 21:37:47 +0000 2015,,17,131,0
37,3397343885,l_derienzo,en,Fri Jul 31 16:30:43 +0000 2015,Central Time (US & Canada),108,448,31
38,73585333,mkspillay,en,Sat Sep 12 06:15:47 +0000 2009,,2,21,1
39,253134025,womenscornerbcn,es,Wed Feb 16 16:37:21 +0000 2011,Greenland,149,246,5697
40,4189238188,gspensti,de,Sat Nov 14 21:23:41 +0000 2015,,3,29,0
41,4189301356,AButt796,en,Sat Nov 14 21:35:17 +0000 2015,,45,154,2
42,2384003422,Jared_S7,en,Wed Mar 05 01:51:54 +0000 2014,Eastern Time (US & Canada),11,281,521
43,3298521551,benm867,en,Mon May 25 22:29:35 +0000 2015,Pacific Time (US & Canada),12,101,0
44,312703951,MallardFilms,en,Tue Jun 07 14:54:16 +0000 2011,London,102,211,68
45,4189242089,anitabora88,en,Sat Nov 14 21:36:02 +0000 2015,,6,47,0
46,3051029983,lunanuevamaya,es-MX,Sat Feb 28 20:25:36 +0000 2015,,158,673,3059
47,751207316,YooiKwan,en,Sat Aug 11 12:39:39 +0000 2012,,8,17,0
48,3207305285,urizonens,en,Sat Apr 25 19:03:28 +0000 2015,,5,39,0
49,4188950421,RaquelHinoj,es,Sat Nov 14 20:51:49 +0000 2015,,78,488,1
50,4189225859,mrawenec,en,Sat Nov 14 21:33:26 +0000 2015,,2,41,0
51,4189206629,PhilipDowdall,en,Sat Nov 14 21:29:20 +0000 2015,,12,96,2
52,485128834,Silouli,fr,Mon Feb 06 21:26:37 +0000 2012,Casablanca,8,83,9
53,4189170747,yo_ih8u,en,Sat Nov 14 21:32:11 +0000 2015,,9,124,0
54,4189273462,TiwalolaF,en,Sat Nov 14 21:30:06 +0000 2015,,10,84,0
55,4189145187,thoughts2_day,en,Sat Nov 14 21:27:29 +0000 2015,,10,217,1
56,4189218545,AleksaBeganovic,sr,Sat Nov 14 21:32:04 +0000 2015,,3,34,0
57,3097656455,Chase9279,en,Thu Mar 19 20:51:19 +0000 2015,,108,762,198
58,3399507193,BroughJohnson,en,Mon Aug 31 03:25:42 +0000 2015,,43,271,42
59,2862275361,WalOene,nl,Wed Nov 05 11:40:35 +0000 2014,,98,238,428
60,4238535612,TammyIng,en,Sat Nov 14 21:29:22 +0000 2015,,11,89,0
61,242749716,ravinaths,en,Tue Jan 25 14:20:04 +0000 2011,Stockholm,109,301,106
62,983393984,CareManagement_,en,Sat Dec 01 21:47:39 +0000 2012,Eastern Time (US & Canada),201,1010,547
63,4188603435,1DBananaLOVER,sk,Sat Nov 14 19:49:04 +0000 2015,,50,329,0
64,36751799,zogtee,en,Thu Apr 30 19:43:56 +0000 2009,Copenhagen,16,155,50
65,2865326890,eb1cdabd7ef7465,fr,Fri Nov 07 07:46:45 +0000 2014,,92,1329,0
66,878580528,cmf22032012,en,Sat Oct 13 20:05:30 +0000 2012,,10,57,44
67,4238477840,sumitar81966478,en,Sat Nov 14 21:12:35 +0000 2015,,10,170,15
68,213859991,AlanGtz95,es,Tue Nov 09 23:50:35 +0000 2010,Guadalajara,44,204,770
69,4034591747,moerock_,en,Sat Oct 24 22:20:53 +0000 2015,,60,253,1
70,4238645413,avilez1007,en,Sat Nov 14 21:26:59 +0000 2015,,6,65,0
71,4189253236,alexandruacsint,en,Sat Nov 14 21:26:25 +0000 2015,,4,60,0
72,4189132007,NazimPh,fr,Sat Nov 14 21:15:47 +0000 2015,,2,40,0
73,195996897,izrahr,es,Tue Sep 28 02:12:11 +0000 2010,Eastern Time (US & Canada),32,111,1258
74,3838839133,jonatha74125515,en,Fri Oct 09 17:51:41 +0000 2015,,508,4999,140
75,188977951,Jorgelvb_,es,Fri Sep 10 01:46:27 +0000 2010,Mexico City,41,184,381
76,4238619913,1cherrry,en,Sat Nov 14 21:23:40 +0000 2015,,14,105,0
77,4189121295,AngelikaGeli3,en,Sat Nov 14 21:22:59 +0000 2015,,11,126,0
78,4238512572,pit_rattanak,en,Sat Nov 14 21:26:21 +0000 2015,,19,148,0
79,94324554,CatherineRequin,fr,Thu Dec 03 13:02:58 +0000 2009,Paris,100,488,83
80,19233257,Elspethmusic,en,Tue Jan 20 12:15:18 +0000 2009,Casablanca,390,460,1045
